Accident_Index,longitude,latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Date
13,78.54800398,14.73695141,1,3,1,1,3,12:55,12,E09000020,6,0,2,30,3,4,3,3220,0,1,1,2,2,0,0,1,1,E01002849,43111.00
14,78.51510124,14.78661225,1,3,2,1,3,05:01,12,E09000020,3,3217,2,30,3,4,3,3216,0,0,4,2,2,0,0,1,1,E01002902,43118.00
15,78.54884501,14.76177454,1,3,1,2,3,11:15,12,E09000020,3,4,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002821,43118.00
16,78.62517787,14.79778677,1,3,1,1,3,10:50,12,E09000020,3,3217,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002840,43118.00
17,78.6056363,14.75023732,1,2,2,1,5,00:15,12,E09000020,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002864,43120.00
18,78.48561567,14.67274885,1,3,2,1,6,09:15,12,E09000020,3,3218,6,30,3,4,3,4,0,0,1,1,1,0,0,1,1,E01002821,43121.00
19,78.59611776,14.76982921,1,3,2,1,6,21:16,12,E09000020,4,302,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002901,43121.00
20,78.61996151,14.72219681,1,2,1,1,7,03:00,12,E09000020,3,4,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002821,43108.00
21,78.57722074,14.68993894,1,3,1,1,2,21:45,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01002839,43124.00
22,78.60244576,14.78535045,1,3,2,1,2,17:05,12,E09000020,4,415,6,30,3,4,5,0,0,0,4,1,1,0,0,1,2,E01002882,43124.00
23,78.64223571,14.6911247,1,3,2,1,2,21:30,12,E09000020,3,3220,3,30,6,2,3,3220,0,0,4,1,4,0,0,1,1,E01002840,43124.00
24,78.63018181,14.684316,1,3,2,1,3,17:25,12,E09000020,5,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,2,E01002858,43118.00
25,78.61960304,14.7120892,1,3,2,1,7,07:34,12,E09000020,3,4,3,30,3,2,4,319,0,5,1,1,2,0,0,1,1,E01002819,43129.00
26,78.51960607,14.74996632,1,3,1,1,4,16:35,12,E09000020,5,0,6,30,3,4,6,0,0,1,4,2,2,0,0,1,1,E01001944,43119.00
27,78.54789008,14.75608546,1,3,2,1,1,20:00,12,E09000020,4,450,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002874,43130.00
28,78.48281105,14.76917912,1,3,2,2,7,13:15,12,E09000020,3,3220,6,30,6,2,3,3218,0,5,1,2,2,0,0,1,3,E01002849,43129.00
29,78.48775217,14.76713783,1,3,2,1,3,18:20,12,E09000020,3,4,3,30,6,2,5,0,0,5,4,2,2,0,0,1,1,E01002835,43132.00
30,78.62494181,14.66271495,1,3,2,1,4,07:25,12,E09000020,4,319,6,30,3,4,6,0,0,1,4,1,1,0,0,1,1,E01002863,43133.00
31,78.63752981,14.71344373,1,2,2,2,3,17:30,12,E09000020,4,412,2,30,2,4,6,0,0,0,4,2,2,0,0,1,1,E01002878,43132.00
32,78.50776956,14.75667091,1,3,2,1,5,12:30,1,E09000033,3,4207,6,30,3,4,5,0,0,1,1,9,1,0,0,1,2,E01002854,43134.00
33,78.59392551,14.77905066,1,3,2,1,7,09:55,12,E09000020,3,4,6,30,3,4,6,0,0,4,1,1,2,0,0,1,1,E01002819,43143.00
34,78.53039236,14.71063037,1,3,2,2,5,13:00,12,E09000020,4,450,6,30,6,4,5,0,0,1,1,2,2,0,0,1,1,E01002909,43134.00
35,78.47719655,14.69047677,1,3,4,1,3,13:02,12,E09000020,5,0,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002906,43132.00
36,78.48284431,14.75576239,1,3,2,2,5,22:55,12,E09000020,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01002880,43134.00
37,78.48314791,14.65934691,1,3,2,1,5,17:30,11,E09000013,3,308,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01001921,43134.00
38,78.57127371,14.72357252,1,3,2,1,1,15:00,12,E09000020,3,3220,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,,43137.00
39,78.60569287,14.77430844,1,3,2,1,7,21:25,12,E09000020,3,4,3,30,6,2,3,3220,0,5,4,1,1,0,0,1,1,E01002848,43136.00
40,78.59067344,14.74691279,1,3,2,1,5,12:41,12,E09000020,3,315,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01002816,43134.00
41,78.54745023,14.72881119,1,3,1,1,6,23:35,12,E09000020,3,402,6,30,6,2,3,4204,0,5,4,1,1,0,0,1,1,E01002827,43135.00
42,78.50725209,14.74086665,1,3,2,1,2,09:15,12,E09000020,4,302,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002900,43138.00
43,78.53432983,14.71956458,1,3,1,1,7,13:25,12,E09000020,3,4206,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01002884,43143.00
44,78.55225769,14.75605991,1,3,2,1,3,20:00,12,E09000020,3,308,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002910,43139.00
45,78.47752203,14.65886224,1,3,2,1,4,08:20,12,E09000020,3,315,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002889,43147.00
46,78.5168018,14.72059903,1,3,2,1,2,11:30,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002912,43138.00
47,78.54244314,14.8042425,1,3,2,1,5,18:10,12,E09000020,3,4,6,30,3,4,3,3218,0,0,4,2,2,0,0,1,1,E01002821,43141.00
48,78.48020864,14.70004009,1,3,1,1,7,11:33,12,E09000020,3,308,6,30,0,-1,-1,0,0,4,1,1,2,4,2,1,1,E01002912,43143.00
49,78.63411999,14.65696462,1,3,2,2,1,20:05,12,E09000020,3,3220,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01002896,43144.00
50,78.51191085,14.66926643,1,3,2,1,3,16:44,12,E09000020,6,0,6,30,6,4,6,0,0,0,4,2,2,0,0,1,1,E01002862,43132.00
51,78.51845236,14.7951293,1,3,2,1,5,18:00,12,E09000020,3,4206,6,30,9,4,4,415,0,1,4,2,2,0,0,1,2,E01002884,43148.00
52,78.63335076,14.71925762,1,3,1,1,6,10:15,12,E09000020,3,3216,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,1,E01002859,43135.00
53,78.63917889,14.79691544,1,2,1,1,3,18:15,12,E09000020,4,450,6,30,0,-1,-1,0,0,1,4,1,1,0,0,1,1,E01002905,43146.00
54,78.55732153,14.75235597,1,3,2,1,4,10:35,12,E09000020,3,3220,6,30,6,2,3,3217,0,0,1,1,1,0,0,1,1,E01002913,43147.00
55,78.5178633,14.72475233,1,3,1,1,6,17:36,12,E09000020,4,412,6,30,6,2,6,0,0,5,4,2,2,0,0,1,1,E01002831,43149.00
56,78.56840811,14.71223295,1,3,1,1,3,16:05,12,E09000020,6,0,6,30,3,4,3,315,0,0,1,1,1,0,0,1,1,E01002889,43146.00
57,78.48648092,14.7668848,1,3,1,1,5,13:56,12,E09000020,5,0,6,30,3,4,5,0,0,1,1,2,2,0,0,1,1,E01002892,43141.00
58,78.5896443,14.74396476,1,3,2,1,4,14:10,12,E09000020,4,450,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002878,43147.00
59,78.56578701,14.74663423,1,3,2,1,2,10:10,12,E09000020,6,0,1,30,2,4,6,0,0,0,1,1,1,0,0,1,3,E01002813,43152.00
60,78.59949243,14.79266069,1,3,1,1,1,14:50,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01002871,43151.00
61,78.5428864,14.74747202,1,3,3,1,3,14:43,12,E09000020,3,3220,3,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01002840,43153.00
62,78.51649786,14.71827284,1,3,2,2,2,17:20,12,E09000020,3,3220,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01002848,43152.00
63,78.58783427,14.79753447,1,3,2,1,1,12:40,12,E09000020,3,3220,2,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01002814,43151.00
64,78.50462661,14.74186473,1,3,1,2,1,13:55,1,E09000033,3,315,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01004689,43151.00
65,78.50372105,14.67450274,1,3,2,2,7,22:25,12,E09000020,3,308,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002821,43157.00
66,78.53697377,14.72235024,1,3,4,1,2,18:14,12,E09000020,5,0,6,30,6,4,6,0,0,0,4,1,2,0,0,1,1,E01002836,43159.00
67,78.60142027,14.6920907,1,3,2,1,5,16:30,12,E09000020,3,3217,6,30,6,2,3,3220,0,5,1,1,2,0,0,1,1,E01002913,43155.00
68,78.51914542,14.65809725,1,3,1,1,3,19:00,12,E09000020,5,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002910,43160.00
69,78.51682898,14.7622116,1,3,1,1,4,17:13,12,E09000020,6,0,6,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,E01002883,43154.00
70,78.5874902,14.65829601,1,3,2,1,7,17:00,12,E09000020,3,4,6,30,6,4,5,0,0,5,4,2,2,0,0,1,1,E01002887,43157.00
71,78.63977968,14.75147928,1,3,2,1,5,09:15,12,E09000020,3,3212,3,30,3,2,5,0,0,0,1,3,2,0,0,1,1,E01002844,43155.00
72,78.49362006,14.70929212,1,3,1,1,6,00:11,12,E09000020,3,308,6,30,6,4,5,0,0,5,4,2,2,0,0,1,1,E01002911,43156.00
73,78.50978723,14.70005993,1,3,3,1,4,19:00,12,E09000020,3,402,2,30,3,4,3,4204,0,5,4,1,1,0,0,1,1,E01002827,43154.00
74,78.59567646,14.78371437,1,3,1,1,7,01:48,12,E09000020,3,3220,2,30,3,4,6,0,0,0,4,8,2,0,0,1,1,E01002851,43157.00
75,78.54136949,14.79076767,1,3,1,1,4,07:58,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,3,3,0,0,1,1,E01002867,43154.00
76,78.57581983,14.76767886,1,3,1,1,6,14:55,12,E09000020,4,304,6,30,7,2,5,0,0,5,1,1,2,0,0,1,1,E01002822,43156.00
77,78.50021904,14.69646545,1,3,2,1,6,08:22,12,E09000020,3,3217,6,30,3,4,6,0,0,1,1,3,2,0,0,1,1,E01002861,43156.00
78,78.60265286,14.67691971,1,3,1,1,6,04:38,12,E09000020,3,4,3,30,3,4,6,0,0,5,4,3,2,0,0,1,1,E01002835,43156.00
79,78.50214131,14.75677954,1,3,1,1,6,13:20,1,E09000033,3,4206,6,30,7,2,5,0,0,5,1,2,2,0,0,1,1,E01004653,43163.00
80,78.4917798,14.66685741,1,3,2,1,3,00:30,12,E09000020,3,308,6,30,6,2,5,0,0,0,4,1,2,0,0,1,1,E01002821,43160.00
81,78.601506,14.79209554,1,3,2,1,2,19:30,1,E09000033,3,315,6,30,3,4,5,0,0,5,4,3,2,0,0,1,1,E01002891,43159.00
82,78.53344659,14.79572839,1,3,2,1,3,12:03,12,E09000020,3,304,6,30,8,4,6,0,0,0,1,2,2,0,0,1,1,E01002912,43160.00
83,78.48455418,14.70195026,1,3,2,1,2,23:03,12,E09000020,3,3220,6,30,6,2,3,3220,0,0,4,1,1,0,0,1,1,E01002840,43145.00
84,78.61444643,14.65835189,1,3,2,1,4,22:19,12,E09000020,3,3220,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002840,43133.00
85,78.63919316,14.78135494,1,3,2,1,5,14:30,12,E09000020,3,308,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002912,43162.00
86,78.58129086,14.78138849,1,2,2,1,3,19:15,12,E09000020,3,315,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,2,E01002814,43160.00
87,78.61902632,14.66241545,1,3,2,1,3,18:31,12,E09000020,3,315,6,30,3,4,6,0,0,4,4,2,2,0,0,1,1,E01002814,43160.00
88,78.59075788,14.67088489,1,3,2,4,7,02:58,12,E09000020,3,308,3,30,3,2,3,4,0,5,4,1,1,0,0,1,1,E01002821,43164.00
89,78.56631994,14.76510556,1,3,1,1,3,10:40,12,E09000020,6,0,6,30,3,4,3,308,0,0,1,1,1,0,0,1,1,E01002822,43160.00
90,78.52627463,14.74048644,1,3,1,1,3,23:40,12,E09000020,4,412,6,30,6,2,6,0,0,0,4,1,1,0,0,1,1,E01002831,43167.00
91,78.63780456,14.78069749,1,3,1,1,5,21:07,12,E09000020,6,0,1,30,2,4,6,0,0,0,4,1,2,0,0,1,1,E01002833,43162.00
92,78.60107905,14.67955824,1,2,2,1,7,18:40,12,E09000020,4,415,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002882,43164.00
93,78.59274347,14.76252813,1,3,1,1,7,16:55,12,E09000020,3,4,3,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002814,43164.00
94,78.56313479,14.67937043,1,3,1,1,3,13:36,12,E09000020,3,3217,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002840,43167.00
95,78.60856414,14.74191231,1,3,2,1,1,01:05,12,E09000020,3,402,6,30,6,2,3,4204,0,0,4,1,1,0,0,1,1,E01002827,43165.00
96,78.59335206,14.70903447,1,3,2,1,3,12:20,12,E09000020,4,450,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002874,43167.00
97,78.4715623,14.65677436,1,3,2,1,3,08:56,12,E09000020,3,3220,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01002869,43167.00
98,78.47488499,14.66076976,1,3,3,1,4,16:55,12,E09000020,3,3220,6,30,6,2,3,308,0,5,1,1,1,2,0,1,1,E01002912,43168.00
99,78.63945235,14.71711614,1,3,3,2,4,15:35,12,E09000020,3,4204,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002827,43168.00
100,78.63908275,14.78005852,1,3,1,1,2,17:35,12,E09000020,3,3218,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01001883,43173.00
101,78.57058917,14.67090569,1,3,1,1,5,09:15,12,E09000020,4,450,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01002831,43176.00
102,78.46344518,14.74883981,1,3,2,1,1,00:15,12,E09000020,4,450,6,30,6,4,6,0,0,0,4,1,1,0,0,1,3,E01002879,43172.00
103,78.47847421,14.73100256,1,3,2,1,3,13:02,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002905,43174.00
104,78.53747456,14.71947132,1,3,2,1,2,20:00,12,E09000020,3,308,6,30,6,2,5,0,0,5,4,1,1,0,0,1,1,E01002911,43173.00
105,78.62941011,14.78927976,1,3,2,1,3,15:31,12,E09000020,3,304,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002913,43174.00
106,78.62081325,14.75982788,1,2,2,1,3,09:40,12,E09000020,3,315,3,30,6,2,3,3220,0,5,1,1,1,0,0,1,1,E01002867,43174.00
107,78.5261796,14.77397946,1,2,2,1,4,09:13,12,E09000020,3,402,2,30,3,2,5,0,0,5,1,1,1,0,0,1,1,E01002873,43168.00
108,78.56387498,14.72388961,1,3,1,2,6,14:41,12,E09000020,3,4,3,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002819,43177.00
109,78.62644835,14.68705541,1,3,2,1,4,08:17,12,E09000020,3,402,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002883,43168.00
110,78.63897516,14.72694687,1,3,3,2,5,11:07,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002832,43176.00
111,78.52491295,14.79386514,1,3,2,1,5,20:55,12,E09000020,3,3220,3,30,3,4,6,0,0,1,4,1,1,0,0,1,1,E01002840,43176.00
112,78.63284938,14.73825519,1,3,1,1,5,23:30,12,E09000020,3,3220,6,30,6,2,3,3217,0,5,4,1,1,0,0,1,1,E01002843,43176.00
113,78.46561537,14.66612627,1,3,1,1,1,20:45,12,E09000020,4,450,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002874,43172.00
114,78.57424101,14.68721774,1,2,2,1,4,20:20,12,E09000020,3,3220,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002866,43175.00
115,78.51496972,14.73016531,1,3,1,1,5,13:53,12,E09000020,3,315,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002826,43183.00
116,78.59715089,14.69456664,1,3,1,2,1,14:31,12,E09000020,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002858,43179.00
117,78.59656167,14.74556922,1,3,1,1,2,09:22,12,E09000020,3,3217,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002903,43180.00
118,78.62947418,14.66045209,1,3,1,1,6,18:03,12,E09000020,3,3220,2,30,0,-1,-1,0,0,1,4,1,1,0,0,1,1,E01002850,43177.00
119,78.46851877,14.71027655,1,3,1,1,1,13:45,12,E09000020,3,3217,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002902,43179.00
120,78.57672392,14.77471619,1,3,2,1,4,15:45,12,E09000020,6,0,6,30,9,4,6,0,0,0,1,1,1,0,0,1,1,E01002890,43182.00
121,78.63055429,14.80468822,1,3,2,1,5,08:17,12,E09000020,3,3217,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002859,43155.00
122,78.57629322,14.70767864,1,3,2,1,4,23:17,12,E09000020,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002852,43182.00
123,78.50329991,14.79490273,1,3,2,1,5,19:20,12,E09000020,4,412,6,30,6,2,6,0,0,5,4,1,1,0,0,1,1,E01002831,43183.00
124,78.51266275,14.69858571,1,3,2,1,5,12:01,12,E09000020,6,0,2,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002865,43183.00
125,78.47503602,14.70878444,1,3,2,1,5,23:39,12,E09000020,4,450,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002909,43190.00
126,78.60791282,14.75358474,1,3,2,1,2,11:40,12,E09000020,6,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01002877,43180.00
127,78.52983052,14.76179671,1,3,3,1,6,12:30,12,E09000020,6,0,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002888,43177.00
128,78.59331286,14.76420208,1,3,1,1,5,12:40,12,E09000020,3,4,3,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01002821,43155.00
129,78.5308538,14.68323088,1,3,1,1,5,09:20,12,E09000020,3,4,6,30,3,4,3,4,0,0,1,1,1,0,0,1,1,E01002819,43183.00
130,78.48250575,14.66622816,1,3,3,1,4,08:23,12,E09000020,3,4,3,30,6,2,3,3220,0,0,1,1,1,0,0,1,1,E01002851,43182.00
131,78.54648246,14.70243018,1,3,2,1,4,18:36,12,E09000020,3,3218,6,30,3,2,6,0,0,5,4,1,1,0,0,1,1,E01002820,43182.00
132,78.58910297,14.6790203,1,3,2,1,5,17:10,12,E09000020,4,319,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002818,43190.00
133,78.59333209,14.78989934,1,3,1,1,2,15:30,12,E09000020,5,0,6,30,6,4,6,0,0,1,1,1,1,0,0,1,2,E01002825,43173.00
134,78.53104421,14.71726722,1,3,1,1,7,03:00,12,E09000020,3,308,2,30,6,2,3,3220,0,5,4,1,1,0,0,1,2,E01002913,43171.00
135,78.60886599,14.73851985,1,3,2,1,7,09:45,12,E09000020,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002830,43199.00
136,78.4734492,14.65945932,1,3,1,1,5,14:30,12,E09000020,3,3218,2,30,6,2,3,3218,0,5,1,2,2,0,0,1,1,E01002821,43197.00
137,78.63796093,14.69902435,1,3,2,1,7,11:09,12,E09000020,3,402,3,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01002884,43192.00
138,78.58360051,14.68998045,1,2,2,1,5,17:00,1,E09000033,3,315,6,30,3,2,5,0,0,5,1,1,1,0,0,1,3,E01004688,43176.00
139,78.58049308,14.78806724,1,3,2,1,5,15:12,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002852,43190.00
140,78.53138575,14.72621264,1,3,1,1,5,13:15,12,E09000020,3,4,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01002821,43197.00
141,78.51771818,14.76506434,1,3,2,1,5,21:25,1,E09000033,3,4,3,30,7,2,3,3216,0,5,4,1,2,0,0,1,1,E01004689,43190.00
142,78.53267456,14.79669925,1,3,1,1,4,00:32,12,E09000020,4,450,6,30,6,4,5,0,0,1,4,1,1,0,0,1,1,E01002856,43196.00
143,78.63541032,14.67611552,1,3,2,1,3,08:25,12,E09000020,3,3217,6,30,6,4,5,0,0,0,1,1,1,0,0,1,1,E01002844,43195.00
144,78.52016722,14.72006418,1,3,1,1,6,09:04,12,E09000020,3,3217,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002859,43198.00
145,78.53274753,14.69178919,1,3,1,1,7,16:42,12,E09000020,4,412,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002829,43192.00
146,78.51171699,14.80505263,1,3,3,1,4,08:40,12,E09000020,3,4,3,30,3,2,5,0,0,5,1,2,2,0,0,1,1,E01002850,43196.00
147,78.52828898,14.6707471,1,2,2,1,6,23:40,12,E09000020,3,3218,2,30,6,2,3,3220,0,5,4,1,1,0,0,1,1,E01002849,43191.00
148,78.53216836,14.6647056,1,3,1,1,4,18:15,12,E09000020,3,4,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002850,43196.00
149,78.49745637,14.79130625,1,2,2,1,2,06:18,12,E09000020,3,3220,3,30,6,2,3,4,0,0,1,1,1,0,0,1,1,E01002814,43194.00
150,78.56291399,14.66644638,1,3,2,1,6,10:40,12,E09000020,3,3217,3,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002844,43198.00
151,78.57011463,14.73892886,1,3,2,1,6,08:28,12,E09000020,4,450,6,30,6,4,4,412,0,4,1,2,2,0,0,1,1,E01002874,43198.00
152,78.51418176,14.77872964,1,3,2,1,6,12:58,12,E09000020,3,4,3,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01002819,43198.00
153,78.52341118,14.7140019,1,3,2,1,1,19:25,11,E09000013,3,3220,6,30,1,4,3,40,0,0,4,1,1,0,0,1,2,E01002877,43200.00
154,78.48058843,14.80338568,1,3,2,1,1,08:43,11,E09000013,3,3220,1,30,1,4,3,40,0,0,1,1,1,0,0,1,1,E01002877,43172.00
155,78.5968315,14.71049446,1,3,1,1,3,13:28,12,E09000020,5,0,2,30,6,4,6,0,0,0,1,2,2,0,0,1,1,E01002865,43209.00
156,78.5092686,14.7857426,1,3,1,1,1,18:15,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002889,43193.00
157,78.62373567,14.80490284,1,3,2,1,3,15:50,12,E09000020,3,402,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002868,43202.00
158,78.56280849,14.74109205,1,3,1,1,4,09:50,12,E09000020,4,302,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01002900,43203.00
159,78.61312089,14.79458328,1,3,2,1,5,20:05,12,E09000020,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002837,43204.00
160,78.55251349,14.70852042,1,3,2,1,4,22:50,12,E09000020,3,4,3,30,6,2,3,3220,0,0,4,1,2,0,0,1,1,E01002814,43203.00
161,78.61190049,14.74892807,1,3,2,1,7,10:10,12,E09000020,4,450,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,1,E01002905,43206.00
162,78.59225886,14.69449824,1,3,2,2,7,18:45,12,E09000020,3,4,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002839,43206.00
163,78.50220319,14.71741426,1,3,2,1,6,17:30,12,E09000020,3,3217,6,30,6,2,3,3220,0,5,1,1,2,0,0,1,2,E01002913,43198.00
164,78.53399951,14.78930585,1,3,2,1,5,09:30,12,E09000020,6,0,6,30,3,4,3,3220,0,1,1,1,1,0,0,1,1,E01002893,43204.00
165,78.55490051,14.71110477,1,3,2,1,5,12:55,12,E09000020,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,2,E01002858,43204.00
166,78.51257609,14.69811304,1,3,2,1,2,12:24,12,E09000020,4,450,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002878,43208.00
167,78.61005704,14.70932652,1,3,2,1,4,17:00,12,E09000020,4,450,6,30,6,2,4,415,0,0,1,1,1,0,0,1,1,E01002874,43210.00
